Model Name, Rating, Offer Price, Actual Price,No_of_reviews 
Apple iPhone 11 (64GB) - White,4.6 out of 5 stars,₹39 999,₹49 900,35 654
Apple iPhone 11 (64GB) - Black,4.6 out of 5 stars,₹39 999,₹49 900,35 654
Apple iPhone 11 (128GB) - White,4.6 out of 5 stars,₹44 999,₹54 900,35 654
Apple iPhone 11 (64GB) - Purple,4.6 out of 5 stars,₹39 999,₹49 900,35 654
Apple iPhone 11 (64GB) - (Product) RED,4.6 out of 5 stars,₹39 999,₹49 900,35 654
Apple iPhone 11 (128GB) - (Product) RED,4.6 out of 5 stars,₹44 999,₹54 900,35 654
Apple iPhone 11 (64GB) - Yellow,4.6 out of 5 stars,₹39 999,₹54 900,35 654
Apple iPhone 11 (128GB) - Yellow,4.6 out of 5 stars,₹44 999,₹54 900,35 654
Apple iPhone XR (128GB) - Black,4.5 out of 5 stars,₹37 999,₹52 900,790
Apple iPhone XR (128GB) - White,4.5 out of 5 stars,₹37 999,₹52 900,790
New Apple iPhone 12 Pro (128GB) - Graphite,4.6 out of 5 stars,₹99 900,₹1 19 900,651
New Apple iPhone 12 Pro Max (256GB) - Pacific Blue,4.6 out of 5 stars,₹1 23 405,₹1 39 900,1 152
New Apple iPhone 12 Pro Max (128GB) - Gold,4.6 out of 5 stars,₹1 19 900,₹1 29 900,1 152
Apple iPhone 7 (32GB) - Black,4.2 out of 5 stars,₹29 900,NA,10 639
Apple iPhone 13 Mini (256GB) - Pink,3.2 out of 5 stars,NA,NA,29
Apple iPhone 11 (256GB) - Purple,4.6 out of 5 stars,₹64 999,NA,35 654
New Apple iPhone 12 Pro Max (256GB) - Pacific Blue with Apple AirPods Pro,4.6 out of 5 stars,₹1 41 395,₹1 64 800,1 152
New Apple iPhone 12 Pro Max (256GB) - Gold,4.6 out of 5 stars,₹1 29 900,₹1 39 900,1 152
New Apple iPhone 12 Pro (512GB) - Gold,4.6 out of 5 stars,₹1 29 900,₹1 49 900,651
New Apple iPhone 12 Pro Max (256GB) - Gold with Apple AirPods Pro,4.6 out of 5 stars,₹1 47 890,₹1 64 800,1 152
Apple iPhone XR (128GB) - Yellow,4.5 out of 5 stars,₹37 999,₹52 900,790
New Apple iPhone 12 Pro Max (512GB) - Gold with Apple AirPods Pro,4.6 out of 5 stars,₹1 67 890,₹1 84 800,1 152
Apple iPhone XR 64GB White (includes EarPods  power adapter),4.6 out of 5 stars,₹44 999,₹76 900,16 274
Apple iPhone XR 128GB Black (includes EarPods  power adapter),4.6 out of 5 stars,₹45 999,₹57 800,16 274
